provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Jambo Papan
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Malaka
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Koto Indarung
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Siurai-Urai
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Kampung Sawah
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Kampung Padang
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Pulo Air
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Lawe Melang
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Mersak
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Simpang Dua
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Simpang Tiga
ACEH,KAB. ACEH SELATAN,Kluet Timur,Paya Dapur
ACEH,KAB. ACEH SELATAN,Kluet Timur,Sapik
ACEH,KAB. ACEH SELATAN,Kluet Timur,Alai
ACEH,KAB. ACEH SELATAN,Kluet Timur,Durian Kawan
ACEH,KAB. ACEH SELATAN,Kluet Timur,Lawe Sawah
ACEH,KAB. ACEH SELATAN,Kluet Timur,Lawe Buluh Didi
ACEH,KAB. ACEH SELATAN,Kluet Timur,Pucuk Lembang
ACEH,KAB. ACEH SELATAN,Kluet Timur,Paya Laba
ACEH,KAB. ACEH SELATAN,Kluet Timur,Lawe Cimanok
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Pasie Seubadeh
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Ladang Rimba
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Ujong Pulo Rayeuk
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Sawah Tingkeum
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Simpang
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Ujong Pulo Cut
ACEH,KAB. ACEH SELATAN,Bakongan Timur,Seuleukat
ACEH,KAB. ACEH SELATAN,Trumon Timur,Pinto Rimba
ACEH,KAB. ACEH SELATAN,Trumon Timur,Krueng Luas
ACEH,KAB. ACEH SELATAN,Trumon Timur,Jambo Dalem
ACEH,KAB. ACEH SELATAN,Trumon Timur,Kapa Sesak
ACEH,KAB. ACEH SELATAN,Trumon Timur,Seuneubok Punto
ACEH,KAB. ACEH SELATAN,Trumon Timur,Seuneubok Pusaka
ACEH,KAB. ACEH SELATAN,Trumon Timur,Alur Bujok
